iter	Passed	Remaining
0	383	383487
1	387	193307
2	392	130368
3	397	98865
4	401	79934
5	426	70609
6	431	61245
7	433	53792
8	436	48035
9	441	43687
10	443	39839
11	444	36632
12	446	33914
13	448	31588
14	450	29570
15	453	27879
16	456	26388
17	459	25051
18	460	23801
19	462	22674
20	464	21657
21	466	20757
22	469	19930
23	470	19152
24	476	18566
25	477	17900
26	479	17283
27	481	16710
28	483	16200
29	485	15702
30	487	15236
31	491	14872
32	493	14460
33	495	14071
34	499	13772
35	502	13448
36	504	13118
37	505	12805
38	507	12507
39	509	12225
40	511	11956
41	513	11716
42	518	11531
43	519	11296
44	521	11071
45	523	10856
46	525	10651
47	528	10478
48	530	10289
49	533	10144
50	535	9969
51	537	9800
52	539	9636
53	541	9487
54	543	9344
55	545	9198
56	547	9056
57	556	9033
58	562	8964
59	563	8832
60	565	8706
61	567	8583
62	569	8465
63	570	8350
64	574	8258
65	577	8178
66	579	8073
67	581	7970
68	583	7870
69	585	7774
70	586	7679
71	589	7596
72	591	7507
73	595	7449
74	597	7364
75	598	7281
76	600	7199
77	603	7135
78	605	7058
79	607	6983
80	611	6938
81	613	6867
82	614	6787
83	616	6718
84	620	6678
85	622	6616
86	627	6586
87	632	6554
88	639	6541
89	642	6495
90	647	6466
91	650	6421
92	657	6416
93	662	6388
94	666	6351
95	668	6297
96	670	6244
97	672	6192
98	675	6151
99	677	6101
100	681	6064
101	683	6019
102	685	5972
103	687	5925
104	693	5911
105	695	5865
106	697	5818
107	699	5773
108	700	5728
109	702	5685
110	705	5646
111	707	5606
112	709	5572
113	711	5531
114	713	5490
115	715	5450
116	717	5414
117	720	5387
118	722	5349
119	726	5328
120	728	5291
121	729	5252
122	731	5216
123	736	5204
124	748	5236
125	756	5244
126	757	5207
127	759	5172
128	761	5139
129	762	5105
130	764	5072
131	767	5044
132	768	5011
133	773	4998
134	775	4967
135	777	4937
136	778	4906
137	782	4885
138	783	4855
139	785	4826
140	790	4813
141	791	4781
142	793	4752
143	795	4728
144	800	4719
145	802	4695
146	805	4671
147	807	4648
148	809	4621
149	812	4603
150	816	4588
151	818	4566
152	820	4540
153	822	4515
154	823	4490
155	826	4471
156	828	4447
157	830	4423
158	832	4401
159	833	4377
160	835	4351
161	836	4328
162	839	4313
163	841	4290
164	843	4268
165	847	4259
166	849	4237
167	851	4216
168	854	4199
169	856	4184
170	858	4163
171	860	4142
172	862	4122
173	864	4102
174	866	4082
175	869	4068
176	873	4062
177	875	4042
178	877	4023
179	878	4004
180	885	4005
181	887	3986
182	889	3972
183	891	3954
184	893	3935
185	895	3917
186	899	3911
187	901	3893
188	904	3881
189	907	3867
190	909	3850
191	910	3832
192	917	3835
193	920	3822
194	922	3809
195	925	3797
196	928	3786
197	931	3775
198	934	3761
199	936	3745
200	938	3729
201	939	3713
202	941	3697
203	944	3686
204	946	3670
205	950	3664
206	952	3649
207	954	3633
208	956	3618
209	958	3607
210	960	3592
211	962	3577
212	967	3573
213	969	3562
214	971	3548
215	974	3538
216	977	3526
217	979	3513
218	981	3500
219	984	3488
220	986	3476
221	993	3481
222	996	3470
223	998	3458
224	1000	3446
225	1002	3434
226	1005	3423
227	1007	3410
228	1011	3406
229	1013	3393
230	1015	3380
231	1017	3367
232	1020	3359
233	1022	3346
234	1024	3333
235	1028	3329
236	1030	3316
237	1032	3304
238	1034	3293
239	1038	3289
240	1040	3277
241	1042	3264
242	1044	3252
243	1045	3240
244	1047	3228
245	1050	3220
246	1055	3218
247	1057	3206
248	1059	3194
249	1060	3182
250	1062	3171
251	1065	3163
252	1067	3152
253	1070	3144
254	1072	3134
255	1074	3123
256	1076	3111
257	1078	3100
258	1081	3093
259	1083	3082
260	1084	3071
261	1089	3067
262	1090	3056
263	1092	3046
264	1095	3038
265	1097	3028
266	1099	3017
267	1101	3007
268	1102	2997
269	1104	2986
270	1106	2977
271	1109	2969
272	1113	2965
273	1115	2954
274	1116	2944
275	1118	2934
276	1124	2934
277	1133	2943
278	1136	2936
279	1139	2928
280	1143	2926
281	1146	2918
282	1148	2909
283	1149	2899
284	1153	2892
285	1156	2887
286	1158	2878
287	1160	2869
288	1162	2859
289	1164	2849
290	1165	2840
291	1168	2832
292	1170	2823
293	1174	2820
294	1176	2811
295	1178	2801
296	1179	2792
297	1185	2792
298	1187	2784
299	1190	2776
300	1192	2769
301	1194	2761
302	1198	2756
303	1203	2755
304	1205	2746
305	1206	2737
306	1208	2728
307	1210	2719
308	1213	2713
309	1215	2705
310	1218	2700
311	1220	2691
312	1222	2683
313	1224	2674
314	1227	2668
315	1229	2660
316	1231	2652
317	1232	2644
318	1234	2635
319	1236	2627
320	1238	2619
321	1243	2618
322	1245	2610
323	1247	2602
324	1249	2594
325	1250	2586
326	1252	2578
327	1255	2572
328	1257	2564
329	1261	2560
330	1262	2552
331	1264	2544
332	1266	2536
333	1272	2537
334	1274	2529
335	1278	2526
336	1280	2519
337	1282	2511
338	1283	2503
339	1287	2498
340	1289	2491
341	1290	2483
342	1295	2480
343	1296	2473
344	1298	2465
345	1303	2464
346	1305	2457
347	1307	2449
348	1309	2442
349	1310	2434
350	1312	2427
351	1314	2419
352	1317	2413
353	1321	2411
354	1323	2404
355	1325	2397
356	1326	2389
357	1328	2382
358	1331	2377
359	1333	2370
360	1337	2367
361	1339	2360
362	1340	2353
363	1342	2346
364	1344	2339
365	1347	2333
366	1349	2326
367	1350	2319
368	1355	2317
369	1356	2310
370	1358	2303
371	1364	2303
372	1366	2296
373	1368	2289
374	1369	2283
375	1371	2276
376	1373	2269
377	1375	2264
378	1377	2257
379	1381	2254
380	1383	2247
381	1385	2241
382	1387	2234
383	1389	2228
384	1392	2223
385	1393	2217
386	1398	2214
387	1399	2208
388	1401	2201
389	1403	2195
390	1405	2189
391	1407	2183
392	1409	2177
393	1411	2170
394	1415	2168
395	1417	2162
396	1419	2155
397	1424	2154
398	1426	2149
399	1428	2143
400	1430	2136
401	1432	2130
402	1434	2124
403	1437	2120
404	1440	2115
405	1442	2110
406	1444	2104
407	1446	2098
408	1447	2092
409	1449	2086
410	1452	2082
411	1454	2076
412	1459	2073
413	1460	2067
414	1462	2061
415	1464	2055
416	1467	2051
417	1469	2045
418	1471	2039
419	1474	2035
420	1476	2030
421	1478	2024
422	1479	2018
423	1485	2017
424	1486	2011
425	1488	2005
426	1490	2000
427	1492	1994
428	1494	1988
429	1496	1983
430	1498	1978
431	1500	1972
432	1504	1969
433	1506	1964
434	1507	1958
435	1509	1952
436	1512	1947
437	1514	1943
438	1516	1937
439	1518	1932
440	1522	1929
441	1523	1923
442	1525	1918
443	1528	1914
444	1530	1908
445	1532	1903
446	1534	1897
447	1536	1892
448	1537	1887
449	1540	1882
450	1542	1877
451	1546	1875
452	1548	1869
453	1550	1864
454	1551	1858
455	1554	1854
456	1557	1850
457	1559	1845
458	1563	1842
459	1565	1837
460	1566	1831
461	1568	1826
462	1571	1822
463	1573	1817
464	1574	1811
465	1576	1806
466	1578	1801
467	1580	1796
468	1582	1791
469	1587	1790
470	1589	1784
471	1590	1779
472	1592	1774
473	1594	1769
474	1596	1764
475	1598	1759
476	1600	1755
477	1604	1752
478	1606	1747
479	1608	1742
480	1610	1737
481	1611	1732
482	1615	1728
483	1616	1723
484	1621	1721
485	1623	1716
486	1624	1711
487	1626	1706
488	1631	1704
489	1634	1700
490	1637	1697
491	1639	1693
492	1641	1688
493	1643	1683
494	1648	1681
495	1649	1676
496	1651	1671
497	1653	1666
498	1655	1661
499	1657	1657
500	1660	1653
501	1664	1651
502	1666	1646
503	1668	1641
504	1669	1636
505	1671	1632
506	1674	1627
507	1676	1623
508	1678	1618
509	1680	1615
510	1682	1610
511	1684	1605
512	1686	1600
513	1689	1597
514	1691	1592
515	1693	1588
516	1697	1585
517	1698	1580
518	1700	1576
519	1702	1571
520	1708	1570
521	1710	1566
522	1712	1561
523	1713	1556
524	1715	1552
525	1717	1547
526	1720	1543
527	1723	1541
528	1725	1536
529	1727	1531
530	1729	1527
531	1731	1522
532	1733	1519
533	1735	1514
534	1737	1510
535	1741	1507
536	1743	1503
537	1745	1498
538	1746	1494
539	1752	1492
540	1754	1488
541	1756	1484
542	1758	1479
543	1759	1475
544	1761	1470
545	1764	1467
546	1767	1463
547	1770	1460
548	1771	1455
549	1773	1451
550	1775	1446
551	1777	1442
552	1780	1439
553	1782	1434
554	1786	1432
555	1788	1427
556	1789	1423
557	1791	1419
558	1794	1415
559	1796	1411
560	1798	1407
561	1802	1404
562	1804	1400
563	1806	1396
564	1808	1392
565	1813	1390
566	1815	1386
567	1816	1381
568	1818	1377
569	1820	1373
570	1822	1369
571	1825	1365
572	1828	1362
573	1830	1358
574	1832	1354
575	1834	1350
576	1836	1346
577	1838	1342
578	1840	1338
579	1842	1334
580	1847	1332
581	1848	1327
582	1850	1323
583	1852	1319
584	1856	1317
585	1859	1313
586	1865	1312
587	1870	1310
588	1876	1309
589	1879	1306
590	1882	1302
591	1885	1299
592	1888	1296
593	1893	1294
594	1895	1290
595	1897	1286
596	1899	1282
597	1902	1278
598	1903	1274
599	1906	1271
600	1909	1267
601	1911	1263
602	1913	1259
603	1917	1257
604	1919	1253
605	1921	1249
606	1923	1245
607	1925	1241
608	1927	1237
609	1929	1233
610	1931	1229
611	1937	1228
612	1938	1224
613	1940	1220
614	1942	1216
615	1944	1212
616	1947	1208
617	1948	1204
618	1952	1202
619	1954	1198
620	1956	1194
621	1958	1190
622	1961	1186
623	1963	1182
624	1964	1178
625	1968	1176
626	1970	1172
627	1972	1168
628	1974	1164
629	1979	1162
630	1981	1158
631	1983	1154
632	1984	1150
633	1986	1146
634	1988	1142
635	1991	1139
636	1995	1137
637	1997	1133
638	1999	1129
639	2001	1125
640	2002	1121
641	2005	1118
642	2007	1114
643	2009	1110
644	2013	1107
645	2014	1104
646	2016	1100
647	2018	1096
648	2024	1094
649	2025	1090
650	2030	1088
651	2032	1084
652	2034	1080
653	2038	1078
654	2040	1074
655	2042	1070
656	2044	1067
657	2045	1063
658	2047	1059
659	2049	1055
660	2052	1052
661	2056	1050
662	2058	1046
663	2060	1042
664	2062	1038
665	2063	1035
666	2067	1031
667	2068	1028
668	2073	1025
669	2074	1022
670	2076	1018
671	2078	1014
672	2081	1011
673	2083	1007
674	2084	1003
675	2086	1000
676	2089	996
677	2091	993
678	2093	989
679	2097	987
680	2100	983
681	2101	980
682	2103	976
683	2105	972
684	2107	969
685	2109	965
686	2111	962
687	2116	959
688	2117	956
689	2119	952
690	2121	948
691	2123	945
692	2126	942
693	2128	938
694	2132	935
695	2134	932
696	2136	928
697	2137	924
698	2140	921
699	2142	918
700	2144	914
701	2147	911
702	2150	908
703	2151	904
704	2153	901
705	2159	899
706	2161	895
707	2163	892
708	2164	888
709	2167	885
710	2168	881
711	2172	878
712	2176	875
713	2177	872
714	2179	868
